Timestamp,Online,Offline,Total,Percent Online
2023-11-10 15:39:04,229,2207,2436,9.4
2023-11-10 15:48:41,229,2207,2436,9.4
2023-11-10 15:58:16,230,2206,2436,9.44
2023-11-10 16:07:53,230,2206,2436,9.44
2023-11-10 16:17:28,247,2189,2436,10.14
2023-11-10 16:27:06,231,2205,2436,9.48
2023-11-10 16:36:43,230,2206,2436,9.44
2023-11-10 16:46:19,231,2205,2436,9.48
2023-11-10 16:55:56,229,2207,2436,9.4
2023-11-10 17:05:37,222,2214,2436,9.11
2023-11-10 17:15:14,228,2208,2436,9.36
2023-11-10 17:24:48,248,2188,2436,10.18
2023-11-10 17:34:22,249,2187,2436,10.22
2023-11-10 17:43:56,248,2188,2436,10.18
2023-11-10 17:53:32,234,2202,2436,9.61
2023-11-10 18:03:06,248,2188,2436,10.18
2023-11-10 18:12:44,228,2208,2436,9.36
2023-11-10 18:22:18,245,2191,2436,10.06
2023-11-10 18:31:52,245,2191,2436,10.06
2023-11-10 18:41:26,244,2192,2436,10.02
2023-11-10 18:50:59,239,2197,2436,9.81
2023-11-10 19:00:42,243,2193,2436,9.98
2023-11-10 19:10:16,245,2191,2436,10.06
2023-11-10 19:19:51,243,2193,2436,9.98
2023-11-10 19:29:25,242,2194,2436,9.93
2023-11-10 19:38:59,241,2195,2436,9.89
2023-11-10 19:48:33,240,2196,2436,9.85
2023-11-10 19:58:09,242,2194,2436,9.93
2023-11-10 20:07:45,239,2197,2436,9.81
2023-11-10 20:17:20,244,2192,2436,10.02
2023-11-10 20:27:01,240,2196,2436,9.85
2023-11-10 20:36:36,243,2193,2436,9.98
2023-11-10 20:46:11,238,2198,2436,9.77
2023-11-10 20:55:44,241,2195,2436,9.89
2023-11-10 21:05:27,236,2200,2436,9.69
2023-11-10 21:15:01,238,2198,2436,9.77
2023-11-10 21:24:36,238,2198,2436,9.77
2023-11-10 21:34:11,237,2199,2436,9.73
2023-11-10 21:43:46,239,2197,2436,9.81
2023-11-10 21:53:19,238,2198,2436,9.77
2023-11-10 22:02:54,239,2197,2436,9.81
2023-11-10 22:12:28,239,2197,2436,9.81
2023-11-10 22:22:03,239,2197,2436,9.81
2023-11-10 22:31:38,241,2195,2436,9.89
2023-11-10 22:41:19,237,2199,2436,9.73
2023-11-10 22:50:54,238,2198,2436,9.77
2023-11-10 23:00:27,241,2195,2436,9.89
2023-11-10 23:10:03,231,2205,2436,9.48
2023-11-10 23:19:44,238,2198,2436,9.77
2023-11-10 23:29:17,238,2198,2436,9.77
2023-11-10 23:38:51,238,2198,2436,9.77
2023-11-10 23:48:26,237,2199,2436,9.73
2023-11-10 23:57:58,254,2182,2436,10.43
2023-11-11 00:07:33,240,2196,2436,9.85
2023-11-11 00:17:07,237,2199,2436,9.73
2023-11-11 00:26:44,226,2210,2436,9.28
2023-11-11 00:36:18,243,2193,2436,9.98
2023-11-11 00:45:51,239,2197,2436,9.81
2023-11-11 00:55:25,242,2194,2436,9.93
2023-11-11 01:05:03,242,2194,2436,9.93
2023-11-11 01:14:36,241,2195,2436,9.89
2023-11-11 01:24:08,244,2192,2436,10.02
2023-11-11 01:33:41,243,2193,2436,9.98
2023-11-11 01:43:14,242,2194,2436,9.93
2023-11-11 01:52:47,239,2197,2436,9.81
2023-11-11 02:02:20,240,2196,2436,9.85
2023-11-11 02:11:53,240,2196,2436,9.85
2023-11-11 02:21:27,237,2199,2436,9.73
2023-11-11 02:31:01,242,2194,2436,9.93
2023-11-11 02:40:34,240,2196,2436,9.85
2023-11-11 02:50:07,241,2195,2436,9.89
2023-11-11 02:59:41,244,2192,2436,10.02
2023-11-11 03:09:14,243,2193,2436,9.98
2023-11-11 03:18:46,245,2191,2436,10.06
2023-11-11 03:28:22,226,2210,2436,9.28
2023-11-11 03:37:58,227,2209,2436,9.32
2023-11-11 03:47:34,225,2211,2436,9.24
2023-11-11 03:57:06,245,2191,2436,10.06
2023-11-11 04:06:39,241,2195,2436,9.89
2023-11-11 04:16:14,229,2207,2436,9.4
2023-11-11 04:25:50,225,2211,2436,9.24
2023-11-11 04:35:24,239,2197,2436,9.81
2023-11-11 04:44:57,243,2193,2436,9.98
2023-11-11 04:54:30,242,2194,2436,9.93
2023-11-11 05:04:07,224,2212,2436,9.2
2023-11-11 05:13:43,223,2213,2436,9.15
2023-11-11 05:23:19,226,2210,2436,9.28
2023-11-11 05:32:52,242,2194,2436,9.93
2023-11-11 05:42:26,242,2194,2436,9.93
2023-11-11 05:52:03,225,2211,2436,9.24
2023-11-11 06:01:39,227,2209,2436,9.32
2023-11-11 06:11:15,228,2208,2436,9.36
2023-11-11 06:20:47,243,2193,2436,9.98
2023-11-11 06:30:19,246,2190,2436,10.1
